Country Name,Country Code,Indicator Name,Indicator Code,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
巴拿马,PAN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,33.8,33.4,29.8,27.6,26.5,25.8,25.6,23,22.1,
秘鲁,PER,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,22.7,21.8,20.7,21.7
菲律宾,PHL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,24.9,,,26.6,,,26.3,,,25.2,,,21.6,,
帕劳,PLW,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,24.9,,,,,,,,,,,
巴布亚新几内亚,PNG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,39.9,,,,,,,,
波兰,POL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3,17,17.6,17.3,15,14.8
預人口紅利,PRE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
波多黎各,PRI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
朝鲜民主主义人民共和国,PRK,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
葡萄牙,PRT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
巴拉圭,PRY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39,37,31.4,28,27.2,26.6,28.9,26.4
约旦河西岸和加沙,PSE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,25.7,25.8,,,,,29.2,
太平洋岛国,PSS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
人口紅利之後,PST,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
法属波利尼西亚,PYF,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
卡塔尔,QAT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
罗马尼亚,ROU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,24.6,23.6,22.1,21.6,22.3,22.9,23,25.1,25.4,25.3,23.6,23.5
俄罗斯联邦,RUS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3,13.3,13.2
卢旺达,RWA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,56.7,,,,,46,,,39.1,,,38.2,
南亚,SAS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
沙特阿拉伯,SAU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
苏丹,SDN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,46.5,,,,,,,,
塞内加尔,SEN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,55.2,,,,48.3,,,,,,46.7,,,,,,
新加坡,SGP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
所罗门群岛,SLB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,22.7,,,,,,,,12.7,,,,
塞拉利昂,SLE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,66.4,,,,,,,,52.9,,,,,,
萨尔瓦多,SLV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,34.6,40,37.8,36.5,40.6,34.5,29.6,31.8,34.9,32.7,29.2
圣马力诺,SMR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
索马里,SOM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
塞尔维亚,SRB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,24.5,25,26.7,25.9,25.7,
撒哈拉以南非洲地区（不包括高收入）,SSA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
南苏丹,SSD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,50.6,,,50.1,,55.1,65.6,82.3,
撒哈拉以南非洲地区,SSF,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
小国,SST,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
圣多美和普林西比,STP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,66.2,,,,,,,
苏里南,SUR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
斯洛伐克共和国,SVK,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,13.3,11.6,10.6,10.9,11,12,13,13.2,12.8,12.6,,,,
斯洛文尼亚,SVN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,12.2,11.6,11.5,12.3,11.3,12.7,13.6,13.5,14.5,14.5,14.3,,,
瑞典,SWE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
斯威士兰,SWZ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,69,,,,,,,,63,,,,,,,,58.9
圣马丁(荷属),SXM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
塞舌尔,SYC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,39.3,,,,
阿拉伯叙利亚共和国,SYR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,30.1,,,35.2,,,,,,,,,,
特克斯科斯群岛,TCA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
乍得,TCD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,54.8,,,,,,,,,46.7,,,,,,
东亚与太平洋地区 (IBRD与IDA),TEA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
欧洲与中亚地区 (IBRD与IDA),TEC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
多哥,TGO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,61.7,,,,,58.7,,,,55.1,,
泰国,THA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,32.4,,26.8,,21.9,20,20.4,17.9,16.4,13.2,12.6,10.9,10.5,7.2,8.6,
塔吉克斯坦,TJK,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,34.3,32,31.3,,
土库曼斯坦,TKM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
东帝汶,TLS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,36.3,,,,,,50.4,,,,,,,41.8,,,
中东与北非地区 (IBRD与IDA),TMN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
汤加,TON,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,16.2,,,,,,,,22.5,,,,,,,,
南亚 (IBRD与IDA),TSA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
撒哈拉以南非洲地区 (IBRD与IDA),TSS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
特立尼达和多巴哥,TTO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
突尼斯,TUN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,23.1,,,,,20.5,,,,,15.2,,
土耳其,TUR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,18.6,16.3,16.7,17.1,16.9,16.1,16.3,15,15,14.7,14.3,13.5
图瓦卢,TUV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,26.3,,,,,,,
坦桑尼亚,TZA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,34.4,,,,28.2,,,,,,
乌干达,UGA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,38.8,,,31.1,,,,24.5,,,19.7,,,,21.4,
乌克兰,UKR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,83.3,76.2,65.6,55.3,49.7,12.7,7.1,5.8,8.6,7.8,9,8.3,8.6,6.4,3.8,2.4
中高等收入国家,UMC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
乌拉圭,URY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,32.5,29.6,24.2,21,18.5,13.7,12.4,11.5,9.7,9.7,9.4,7.9
美国,USA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
乌兹别克斯坦,UZB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,15,14.1,,,,
圣文森特和格林纳丁斯,VCT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
委内瑞拉玻利瓦尔共和国,VEN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,31.1,41.1,54,53.1,42.4,33.1,27.5,27.7,26.4,26.8,27.4,27.2,29.4,29.5,33.1,,
英屬維爾京群島,VGB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
美属维京群岛,VIR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
越南,VNM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,20.7,,17.2,,13.5,,9.8,
瓦努阿图,VUT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,12.7,,,,,,,
世界,WLD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
萨摩亚,WSM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,26.9,,,,,20.3,,,,
科索沃,XKX,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,22.9,17.6,21.1,17.6,,
也门共和国,YEM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,34.8,,,,,,,,,48.6,,,
南非,ZAF,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,66.6,,,62.1,,53.2,,,,55.5,,,
赞比亚,ZMB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,54.7,,,,,54.4,,
津巴布韦,ZWE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,72.3,,,,,,70
